total_jogos;qtde_temporadas_disputadas;total_vitorias_casa;total_empates_casa;total_derrotas_casa;total_gols_casa;total_vitorias_fora;total_empates_fora;total_derrotas_fora;total_gols_fora;total_gols;total_pontos;aproveitamento_final_%
114;3;24;16;17;57;6;15;36;37;94;121;35.38
150;4;20;27;28;78;20;19;37;68;146;166;36.89
380;10;125;35;30;355;55;60;74;219;574;635;55.7
342;9;98;39;34;262;42;39;90;156;418;498;48.54
114;3;14;23;20;51;10;10;37;34;85;105;30.7
304;8;62;46;44;189;30;44;78;139;328;366;40.13
304;8;69;36;47;203;34;38;80;132;335;383;42.0
152;4;32;26;18;87;13;24;39;74;161;185;40.57
264;7;48;37;47;149;22;40;71;112;261;287;36.24
380;10;105;62;23;279;53;56;81;178;457;592;51.93
266;7;57;38;38;164;21;35;77;118;282;307;38.47
76;2;15;9;14;45;5;9;24;32;77;78;34.21
304;8;80;42;30;237;47;37;68;154;391;460;50.44
38;1;6;5;8;17;2;3;14;7;24;32;28.07
38;1;7;6;6;18;3;11;5;16;34;47;41.23
152;4;26;26;24;86;13;14;49;56;142;157;34.43
380;10;111;43;36;321;68;51;70;235;556;631;55.35
380;10;92;54;44;270;54;45;91;193;463;537;47.11
114;3;30;12;15;72;12;14;31;56;128;152;44.44
190;5;44;22;29;129;19;22;54;83;212;233;40.88
380;10;114;43;33;298;56;60;74;193;491;613;53.77
342;9;99;40;32;267;41;56;74;155;422;516;50.29
38;1;6;7;6;19;1;3;15;7;26;31;27.19
38;1;9;6;4;19;2;7;10;17;36;46;40.35
76;2;16;6;16;45;3;6;29;21;66;69;30.26
342;9;97;37;37;294;60;40;71;196;490;548;53.41
38;1;3;10;6;13;1;1;17;5;18;23;20.18
190;5;46;20;29;122;13;31;51;78;200;228;40.0
76;2;16;15;7;57;6;12;20;32;89;93;40.79
76;2;17;14;7;62;10;14;14;43;105;109;47.81
38;1;7;2;10;27;1;5;13;18;45;31;27.19
380;10;111;51;28;321;48;55;87;175;496;583;51.14
380;10;101;60;29;280;60;47;83;197;477;590;51.75
304;8;68;44;40;189;28;34;90;124;313;366;40.13
266;7;53;38;42;158;31;42;60;122;280;332;41.6
190;5;35;25;35;129;23;23;49;104;233;222;38.95
